Sample_ID,site,site_shortcode,week,Region,season,date,year,size,size_code,total_organisms,C_Polychaete,P_Echinodermata,P_mollusca,sP_Crustacea,sP_Vertebrata,P_Sipuncula,unknown ,sC_Sedentaria ,sC_Errantia_Aciculata ,C_Ophiuroidea ,C_Echinoidea,C_Caudofoveata ,C_Bivalvia ,C_Gastropoda ,C_Scaphopoda,O_Amphipoda,sO_Cladocera ,sC_Copepoda ,O_Decapoda ,O_Cumacea ,C_Ostracoda ,fragments,temp,sal_psu,DO_sat,DO_mgL,pH,Chlorophyll_ugL,BGA_ugL,BGA_RFU,depth
ALMR_W00_IB_HS_LG,Almirante,ALMR,W00,IB,HS,10/4/17,2017,500,LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,36.33,81.1,4.99,8.16,2.98,4.92,1.79,15.3
ALMR_W00_IB_HS_SM,Almirante,ALMR,W00,IB,HS,10/4/17,2017,250,SM,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,36.33,81.1,4.99,8.16,2.98,4.92,1.79,15.3
ALMR_W00_IB_HS_SM,Almirante,ALMR,W00,IB,HS,10/4/17,2017,125,SM,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,36.33,81.1,4.99,8.16,2.98,4.92,1.79,15.3
ALMR_W00_IB_HS_SM,Almirante,ALMR,W00,IB,HS,10/4/17,2017,combined,SUM,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,36.33,81.1,4.99,8.16,2.98,4.92,1.79,15.3
ALMR_W00_IB_HS_LG,Almirante,ALMR,W00,IB,HS,10/11/17,2017,500,LG,11,4,0,1,5,0,0,1,2,2,0,0,0,1,0,0,0,0,3,2,0,0,0,30.1,36.41,6.5,0.4,7.93,2.61,6.46,2.36,23.4
ALMR_W00_IB_HS_SM,Almirante,ALMR,W00,IB,HS,10/11/17,2017,250,SM,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30.1,36.41,6.5,0.4,7.93,2.61,6.46,2.36,23.4
ALMR_W00_IB_HS_SM,Almirante,ALMR,W00,IB,HS,10/11/17,2017,125,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.1,36.41,6.5,0.4,7.93,2.61,6.46,2.36,23.4
ALMR_W00_IB_HS_SM,Almirante,ALMR,W00,IB,HS,10/11/17,2017,combined,SUM,12,4,0,1,6,0,0,1,2,2,0,0,0,1,0,0,0,1,3,2,0,0,2,30.1,36.41,6.5,0.4,7.93,2.61,6.46,2.36,23.4
ALMR_W01_IB_HS_LG,Almirante,ALMR,W01,IB,HS,10/16/17,2017,500,LG,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,30.1,36.63,10.5,0.65,8.07,2.9,4.78,1.75,23.1
ALMR_W01_IB_HS_SM,Almirante,ALMR,W01,IB,HS,10/16/17,2017,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30.1,36.63,10.5,0.65,8.07,2.9,4.78,1.75,23.1
ALMR_W01_IB_HS_SM,Almirante,ALMR,W01,IB,HS,10/16/17,2017,125,SM,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1,36.63,10.5,0.65,8.07,2.9,4.78,1.75,23.1
ALMR_W01_IB_HS_SM,Almirante,ALMR,W01,IB,HS,10/16/17,2017,combined,SUM,4,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,30.1,36.63,10.5,0.65,8.07,2.9,4.78,1.75,23.1
ALMR_W02_IB_HS_LG,Almirante,ALMR,W02,IB,HS,10/24/17,2017,500,LG,4,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30.3,36.66,21.1,1.3,8.31,1,3.19,1.16,21.9
ALMR_W02_IB_HS_SM,Almirante,ALMR,W02,IB,HS,10/24/17,2017,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,36.66,21.1,1.3,8.31,1,3.19,1.16,21.9
